ID,first_name,last_name,player_id
1,Myles,Turner,1626167
2,Bobby,Portis,1626171
3,Kris,Dunn,1627739
4,Taurean,Prince,1627752
5,Derrick,Jones Jr.,1627884
6,Gary,Trent Jr.,1629018
7,Darius,Garland,1629636
8,Isaiah,Jackson,1630543
9,Jericho,Sims,1630579
10,TyTy,Washington Jr.,1631102
11,Ryan,Rollins,1631157
12,Ousmane,Dieng,1631172
13,Pete,Nance,1631250
14,AJ,Green,1631260
15,Andre,Jackson Jr.,1641748
16,Jordan,Miller,1641757
17,Cam,Christie,1642353
18,Kobe,Sanders,1642920
19,Sean,Pedulla,1642951
20,Brook,Lopez,201572
21,Nicolas,Batum,201587
22,Kawhi,Leonard,202695
23,Thanasis,Antetokounmpo,203648
24,Bogdan,Bogdanovic,203992
25,Robert,Williams III,1629057
26,Nic,Claxton,1629651
27,Matisse,Thybulle,1629680
28,Deni,Avdija,1630166
29,Vit,Krejci,1630249
30,Ziaire,Williams,1630533
31,Ochai,Agbaji,1630534
32,Jalen,Wilson,1630592
33,E.J.,Liddell,1630604
34,Tyson,Etienne,1630623
35,Scoot,Henderson,1630703
36,Shaedon,Sharpe,1631101
37,Blake,Wesley,1631104
38,Josh,Minott,1631169
39,Kris,Murray,1631200
40,Sidy,Cissoko,1631321
41,Toumani,Camara,1641739
42,Malachi,Smith,1641869
43,Donovan,Clingan,1642270
44,Nolan,Traore,1642849
45,Danny,Wolf,1642874
46,Ben,Saraf,1642879
47,Hansen,Yang,1642905
48,Chris,Youngblood,1642959
49,Chaney,Johnson,1643052
50,Jrue,Holiday,201950
51,Jerami,Grant,203924
52,Gary,Payton II,1627780
53,Marvin,Bagley III,1628963
54,De'Anthony,Melton,1629001
55,P.J.,Washington,1629023
56,Daniel,Gafford,1629655
57,Omer,Yurtseven,1630209
58,Naji,Marshall,1630230
59,Pat,Spencer,1630311
60,Moses,Moody,1630541
61,Gui,Santos,1630611
62,Max,Christie,1631108
63,Brandin,Podziemski,1641764
64,Tyler,Smith,1641890
65,AJ,Johnson,1642358
66,Quinten,Post,1642366
67,Malevy,Leons,1642502
